"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"LED_0805_2012Metric_LiteOn_C171";1;"LED-RED";;;
2;"XR9,XR4,XR26,XR25,XR22,XR21,XR20,XR19,XR18,XR17,XR16,XR15,XR14,XR13,XR12,XR11,XR10,XR8,XR7,XR6,XR5,XR3,XR2,XR1";"MODULE_TRACER";24;"TRACER1";;;
3;"SW1";"SW_PUSH_6mm";1;"RESET";;;
4;"SW103";"SW_PUSH_6mm";1;"BOOT";;;
5;"J9";"USB_Micro-AB_Molex_47590-0001";1;"USB_MICRO_AB";;;
6;"SW113";"SW_PUSH_6mm";1;"BLUE";;;
7;"SW112";"SW_PUSH_6mm";1;"YELLOW";;;
8;"SW111";"SW_PUSH_6mm";1;"GREEN";;;
9;"SW110";"SW_PUSH_6mm";1;"RED";;;
10;"Y2";"Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal_1EP_style1";1;"32.768kHz";;;
11;"Y1";"Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm";1;"12MHz";;;
12;"XR32,XR31,XR30,XR29,XR28,XR27";"MODULE_TRACER";6;"TRACER2";;;
13;"U102";"SOIC-16_3.9x9.9mm_P1.27mm";1;"ULN2003A";;;
14;"U101";"DFN-8-1EP_6x5mm_P1.27mm_EP2x2mm";1;"MR25H10";;;
15;"U4";"SOT-23-5";1;"MIC2005A-1YM5";;;
16;"U3";"DFN-10_3x3mm_P0.5mm";1;"MMA7660";;;
17;"U2";"SOT-223-3_TabPin2";1;"MCP1703";;;
18;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGTx";;;
19;"TPVLIPO1,TPVIN5,TPVEXT1,TPVBUS5,TPMV3,TPMV0,TPGND1,TPGLIPO1,TPGEXT1,TP3V3,TP2A1,TP62,TP61,TP59,TP58,TP57,TP56,TP54,TP53,TP52,TP51,TP50,TP49,TP46,TP41,TP40,TP39,TP38,TP37,TP36,TP35,TP34,TP33,TP30,TP29,TP28,TP27,TP26,TP25,TP24,TP23,TP22,TP21,TP20,TP17,TP16,TP15,TP14,TP11,TP10,TP9,TP8,TP2";"TestPoint_Keystone_5000-5004_Miniature";53;"TestPoint";;;
20;"SW102";"RotaryEncoder_CTS_11CE";1;"USER";;;
21;"SW4,SW3";"SW_PUSH_6mm";2;"BLACK";;;
22;"R137,R128,R126,R125,R124,R123,R121,R120,R108,R107,R106,R104,R17,R12,R11,R9,R8,R3";"R_0805_2012Metric";18;"4.7K";;;
23;"R117,R116,R115,R114,R113,R112,R111,R110,R105,R103,R102,R101,R19";"R_0805_2012Metric";13;"220";;;
24;"R109,R22,R20,R15,R14";"R_0805_2012Metric";5;"100K";;;
25;"R16,R10,R7,R6,R5,R4";"R_0805_2012Metric";6;"560";;;
26;"R2,R1";"R_0805_2012Metric";2;"22";;;
27;"Q1";"SOT-23";1;"DMP2160UW";;;
28;"L1";"L_0805_2012Metric";1;"1K";;;
29;"K101";"Relay_DPDT_Omron_G6K-2F";1;"G6K-2";;;
30;"J109";"TE_640454-6";1;"SPI_PORT_1x6";;;
31;"J108";"TE_640454-4";1;"EX_PWR_IN_1x4";;;
32;"J107";"TE_640454-9";1;"RELAY_CONTACTS_1x9";;;
33;"J106";"TE_640454-9";1;"EXPANSION_IO_1x9";;;
34;"J105";"TE_640454-4";1;"SERIAL_IO_1x4";;;
35;"J104";"BNC_TEConnectivity_1634503_Vertical";1;"ANALOG_OUT2";;;
36;"J103";"BNC_TEConnectivity_1634503_Vertical";1;"ANALOG_OUT1";;;
37;"J102";"BNC_TEConnectivity_1634503_Vertical";1;"ANALOG_IN2";;;
38;"J101";"BNC_TEConnectivity_1634503_Vertical";1;"ANALOG_IN1";;;
39;"J10";"TE_640454-2";1;"LIPO_1x2";;;
40;"J8";"microSD_HC_Hirose_DM3BT-DSF-PEJS";1;"Micro_SD_Card_Det";;;
41;"D5";"LED_0805_2012Metric_LiteOn_C171";1;"LED-BLUE";;;
42;"D4";"LED_0805_2012Metric_LiteOn_C171";1;"LED-YELLOW";;;
43;"D3";"LED_0805_2012Metric_LiteOn_C171";1;"LED-GREEN";;;
44;"D1";"LED_0805_2012Metric_LiteOn_C171";1;"MSE1PB-M3/89A";;;
45;"C106,C104,C13,C9,C8,C6,C5,C4,C3";"C_0805_2012Metric";9;"0.1uF";;;
46;"C20,C19,C16";"C_0805_2012Metric";3;"2.2uF";;;
47;"C18,C17,C10,C7";"C_0805_2012Metric";4;"4.7uF";;;
48;"C12,C11,C2,C1";"C_0805_2012Metric";4;"10pF";;;
49;"BT101";"BatteryHolder_Keystone_1059_1x2032";1;"2032_SOCK";;;
50;"A101";"MODULE_OLED_910";1;"OLED_910MILS_128x32_I2C";;;
